n, hm, ehm, p, ep, m, em, v, ev
10, 100.000000, 0.980000, 1.460423, 0.369466, 1.460423, 0.369466, 1.428227, 0.400337
20, 50.000000, 0.960000, 1.551885, 0.288755, 1.551885, 0.288755, 1.762795, 0.134562
40, 0.000000, inf, 1.787553, 0.118848, 1.787553, 0.118848, 1.937376, 0.032324
80, 0.000000, inf, 1.851802, 0.080029, 1.851802, 0.080029, 1.989552, 0.005251
160, 0.000000, inf, 1.832153, 0.091612, 1.832153, 0.091612, 2.000534, 0.000267
320, 0.000000, inf, 2.155188, 0.072007, 2.155188, 0.072007, 1.998017, 0.000993
640, 1.562500, 0.280000, 2.005278, 0.002632, 2.091117, 0.043573, 1.997546, 0.001229
1280, 3.125000, 0.360000, 1.986093, 0.007002, 1.947881, 0.026757, 1.999420, 0.000290
2560, 2.734375, 0.268571, 2.098686, 0.047023, 1.973676, 0.013338, 1.999741, 0.000130
5120, 1.367188, 0.462857, 2.108129, 0.051291, 2.001361, 0.000680, 1.999634, 0.000183
10240, 2.246094, 0.109565, 2.030472, 0.015008, 1.994908, 0.002552, 1.999680, 0.000160
20480, 1.855469, 0.077895, 2.036364, 0.017857, 1.992758, 0.003634, 1.999974, 0.000013
40960, 1.831055, 0.092267, 2.014832, 0.007361, 2.002878, 0.001437, 1.999896, 0.000052
81920, 2.026367, 0.013012, 1.995557, 0.002227, 2.003260, 0.001628, 1.999983, 0.000009
163840, 2.099609, 0.047442, 1.999026, 0.000487, 1.999138, 0.000431, 1.999977, 0.000011
327680, 1.953125, 0.024000, 1.998126, 0.000938, 2.001511, 0.000755, 1.999997, 0.000002
655360, 2.017212, 0.008533, 1.997507, 0.001248, 2.001094, 0.000547, 1.999997, 0.000002
1310720, 1.990509, 0.004768, 1.998942, 0.000529, 1.999930, 0.000035, 1.999998, 0.000001
2621440, 1.976013, 0.012139, 1.998054, 0.000974, 1.999971, 0.000015, 1.999999, 0.000001
5242880, 1.983261, 0.008440, 1.998685, 0.000658, 1.999900, 0.000050, 1.999998, 0.000001
